Plan file, plan diff, Entropy, Cosine, Hamming Similarity, Hamming Dist, Euclidean, Jaccard
agent_15.plans , s1-s2, 0.389887, 0.084789, 0.000000, 0.015915, 0.009274, 0.000000 
agent_15.plans , s1-s3, 0.325600, 0.250030, 100.000000, 0.009726, 0.008850, 0.000000 
agent_15.plans , s2-s3, 0.089502, 0.386856, 100.000000, 0.009726, 0.003418, 0.000000 

agent_150.plans , s1-s2, 0.099991, 0.186162, 0.000000, 0.010610, 0.003176, 0.000000 
agent_150.plans , s1-s3, 0.099991, 0.186162, 0.000000, 0.010610, 0.003176, 0.000000 
agent_150.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_151.plans , s1-s2, 0.294212, 0.000000, 0.000000, 0.025641, 0.007037, 0.000000 
agent_151.plans , s1-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 
agent_151.plans , s2-s3, 0.295131, 0.000000, 0.000000, 0.025641, 0.007037, 0.000000 

agent_152.plans , s1-s2, 0.140336, 0.107515, 0.000000, 0.022104, 0.003797, 0.000000 
agent_152.plans , s1-s3, 0.081288, 0.529593, 100.000000, 0.009726, 0.002794, 0.000000 
agent_152.plans , s2-s3, 0.092013, 0.165755, 21.428571, 0.019452, 0.003080, 0.000000 

agent_153.plans , s1-s2, 0.109753, 0.799208, 0.000000, 0.013263, 0.003513, 1.000000 
agent_153.plans , s1-s3, 0.067765, 0.880469, 100.000000, 0.007958, 0.002734, 1.000000 
agent_153.plans , s2-s3, 0.075965, 0.836238, 50.000000, 0.010610, 0.003097, 1.000000 

agent_154.plans , s1-s2, 0.117653, 0.172502, 0.000000, 0.020336, 0.003613, 0.000000 
agent_154.plans , s1-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 
agent_154.plans , s2-s3, 0.117242, 0.172502, 0.000000, 0.020336, 0.003613, 0.000000 

agent_155.plans , s1-s2, 0.259290, 0.092736, 0.000000, 0.021220, 0.006967, 0.000000 
agent_155.plans , s1-s3, 0.195951, 0.322041, 100.000000, 0.010610, 0.006444, 0.000000 
agent_155.plans , s2-s3, 0.080094, 0.285083, 50.000000, 0.015915, 0.003031, 0.000000 

agent_156.plans , s1-s2, 0.295401, 0.107793, 0.000000, 0.023873, 0.007305, 0.000000 
agent_156.plans , s1-s3, 0.295401, 0.107793, 0.000000, 0.023873, 0.007305, 0.000000 
agent_156.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 
